method,seed,n_double_train,split_file,condition,gene1,gene2,n_cells,top_k,pearson,wpearson,mse,deg_pearson,deg_wpearson,pearson_delta,wpearson_delta,deg_pearson_delta,deg_wpearson_delta,mse_delta,r2,wr2,r2_deg,wr2_deg,wmse,direction_acc,wdirection_acc,deg_direction_acc,deg_wdirection_acc,deg_recall,deg_recall_std
Empirical additive,0,,norman_full_seed0_by_perturbation.json,CNN1+ETS2,CNN1,ETS2,785,20,0.9971001148223877,0.9971001148223877,0.0009263043175451458,0.9810092170258232,0.9810092170258232,0.9271832704544067,0.9271832704544067,0.9756274064825378,0.9756274064825378,0.0009263043175451458,0.9941765666007996,0.9941765666007996,0.9531910297710569,0.9531910297710569,0.013136442750692368,0.7524841915017844,0.7524841915017844,1.0,1.0,0.65,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,IRF1+SET,IRF1,SET,367,20,0.9906415939331055,0.9906415939331055,0.0030326193664222956,0.9850376689871554,0.9850376689871554,0.9262309670448303,0.9262309670448303,0.9684274636484153,0.9684274636484153,0.0030326193664222956,0.9812423586845398,0.9812423586845398,0.9613456645183147,0.9613456645183147,0.029921846464276314,0.7446074201833943,0.7446074201833943,1.0,1.0,0.8,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,ELMSAN1+LHX1,ELMSAN1,LHX1,547,20,0.9977010488510132,0.9977010488510132,0.0008032368496060371,0.9774346792123721,0.9774346792123723,0.9384089112281799,0.9384089112281799,0.9638714482164912,0.9638714482164912,0.000803236907813698,0.9951044917106628,0.9951044917106628,0.9508343873765628,0.9508343873765628,0.009753275662660599,0.723555555549124,0.723555555549124,0.95,0.95,0.8,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,FOSB+OSR2,FOSB,OSR2,324,20,0.9958935379981995,0.9958935379981995,0.0014365253737196326,0.9428713791462089,0.9428713791462089,0.9532619118690491,0.9532619118690491,0.9736021113161626,0.9736021113161626,0.0014365252573043108,0.9917468428611755,0.9917468428611755,0.8456149052232943,0.8456149052232942,0.020719513297080994,0.7573333333266016,0.7573333333266016,1.0,1.0,0.85,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,PTPN12+ZBTB25,PTPN12,ZBTB25,257,20,0.9966883659362793,0.9966883659362793,0.0011135460808873177,0.9872343747054929,0.9872343747054929,0.9594359993934631,0.9594359993934631,0.9828678919211987,0.9828678919211987,0.0011135460808873177,0.993158221244812,0.993158221244812,0.9680038416904417,0.9680038416904417,0.016933202743530273,0.7599637681090584,0.7599637681090584,1.0,1.0,0.85,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,CDKN1B+CDKN1C,CDKN1B,CDKN1C,79,20,0.9912272691726685,0.9912272691726685,0.0025990386493504047,0.948971341733454,0.948971341733454,0.9660266041755676,0.9660266041755676,0.9947913808954374,0.9947913808954374,0.0025990386493504047,0.9821131229400635,0.9821131229400635,0.8840196551443189,0.8840196551443189,0.039207227528095245,0.7351598173448844,0.7351598173448844,1.0,1.0,0.75,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,CEBPB+FOSB,CEBPB,FOSB,85,20,0.980816662311554,0.980816662311554,0.006304520182311535,0.9092876246852918,0.9092876246852919,0.9078693389892578,0.9078693389892578,0.9472012131223232,0.9472012131223231,0.006304519716650248,0.9604904055595398,0.9604904055595398,0.7337746839290418,0.7337746839290418,0.0649266466498375,0.7452054794452493,0.7452054794452493,1.0,1.0,0.7,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,ELMSAN1+MAP2K3,ELMSAN1,MAP2K3,484,20,0.9982200860977173,0.9982200860977173,0.0007061793585307896,0.9886830692294033,0.9886830692294033,0.9291750192642212,0.9291750192642212,0.9419380408741643,0.9419380408741643,0.0007061793585307896,0.9963057041168213,0.9963057041168213,0.9741932616152605,0.9741932616152605,0.007542567327618599,0.7165919282446943,0.7165919282446943,1.0,1.0,0.75,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,HOXC13+ZC3HAV1,HOXC13,ZC3HAV1,543,20,0.9958311319351196,0.9958311319351196,0.0013678452232852578,0.9949508862271699,0.99495088622717,0.9215802550315857,0.9215802550315857,0.9692467123865508,0.9692467123865507,0.0013678452232852578,0.9909997582435608,0.9909997582435608,0.9886440911186197,0.9886440911186197,0.014282993972301483,0.7718665464312727,0.7718665464312727,1.0,1.0,0.55,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,BPGM+SAMD1,BPGM,SAMD1,240,20,0.9962514638900757,0.9962514638900757,0.001221926650032401,0.9952164751962839,0.9952164751962839,0.9770331382751465,0.9770331382751465,0.9935087757790906,0.9935087757790906,0.001221926650032401,0.992477297782898,0.992477297782898,0.9737506852779146,0.9737506852779146,0.03349252790212631,0.7581521739061763,0.7581521739061763,1.0,1.0,0.8,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,MAP2K6+SPI1,MAP2K6,SPI1,242,20,0.9884217381477356,0.9884217381477356,0.003740780521184206,0.9751638567523756,0.9751638567523756,0.87240070104599,0.87240070104599,0.9417811703789943,0.9417811703789943,0.003740780521184206,0.9769499897956848,0.9769499897956848,0.9399256970617551,0.9399256970617551,0.04310349375009537,0.7364130434715905,0.7364130434715905,1.0,1.0,0.6,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,PTPN12+SNAI1,PTPN12,SNAI1,244,20,0.9958687424659729,0.9958687424659729,0.0012782899430021644,0.994422621876733,0.994422621876733,0.8869949579238892,0.8869949579238892,0.9573170039353238,0.9573170039353238,0.0012782899430021644,0.9917210340499878,0.9917210340499878,0.9858353230130372,0.9858353230130372,0.013224191963672638,0.7384196185219036,0.7384196185219036,1.0,1.0,0.6,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,CBFA2T3+PRDM1,CBFA2T3,PRDM1,109,20,0.9858303666114807,0.9858303666114807,0.004454923328012228,0.9602220012365644,0.9602220012365644,0.8874052166938782,0.8874052166938782,0.9478794150088952,0.9478794150088952,0.004454923328012228,0.9711129665374756,0.9711129665374756,0.9202985189973987,0.9202985189973987,0.06277568638324738,0.7247037374592097,0.7247037374592097,1.0,1.0,0.7,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,CBFA2T3+FEV,CBFA2T3,FEV,153,20,0.9775294065475464,0.9775294065475464,0.007595712784677744,0.8897779900572261,0.8897779900572261,0.8440746068954468,0.8440746068954468,0.8796977374816882,0.8796977374816882,0.007595712784677744,0.9552412629127502,0.9552412629127502,0.7719288215077986,0.7719288215077986,0.13682493567466736,0.7063063062999433,0.7063063062999433,1.0,1.0,0.55,0.0
Empirical additive,0,,norman_full_seed0_by_perturbation.json,ETS2+IKZF3,ETS2,IKZF3,388,20,0.9949392080307007,0.9949392080307007,0.0019434099085628986,0.9844201619158557,0.9844201619158557,0.9551198482513428,0.9551198482513428,0.975772675592397,0.9757726755923971,0.0019434097921475768,0.98914635181427,0.98914635181427,0.9537716021227179,0.953771602122718,0.04777776077389717,0.7515865820421435,0.7515865820421433,1.0,1.0,0.85,0.0
